"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"005","HNL","LAX","8","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","21.320620000","-157.924228000","33.942501070","-118.407997100","400","2","0"
"006","TPA","LAS","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","27.975500110","-82.533203130","36.080101010","-115.152000400","400","2","0"
"629","SIN","MNL","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","1.350190000","103.994003000","14.508600000","121.019997000","400","2","0"
"141","KBL","DXB","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","34.565899000","69.212303000","25.252799990","55.364398960","400","2","0"
"063","OSA","MNL","2","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","48.723333300","2.379444400","14.508600000","121.019997000","400","2","0"
"160","MNL","GUM","17","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","13.483400340","144.796005200","400","2","0"
"160","GUM","MNL","17","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","13.483400340","144.796005200","14.508600000","121.019997000","400","2","0"
"126","SIN","MNL","9","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","1.350190000","103.994003000","14.508600000","121.019997000","400","3","1"
"695","MNL","DVO","24","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","7.125520229","125.646003700","400","4","1"
"285","MNL","HKG","3","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","22.308901000","113.915001000","400","4","1"
"090","HKG","MNL","5","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","22.308901000","113.915001000","14.508600000","121.019997000","400","4","1"
"176","MEL","AKL","14","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-37.673302000","144.843002000","-37.008098600","174.792007400","400","4","1"
"141","DXB","DMM","3","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","25.252799990","55.364398960","26.471200940","49.797901150","400","5","1"
"999","CEB","MNL","21","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","10.307499890","123.978996300","14.508600000","121.019997000","400","5","1"
"829","BKK","HKT","28","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","13.681099890","100.747001600","8.113200000","98.316902000","400","5","1"
"851","HKG","PVG","5","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","22.308901000","113.915001000","31.143400190","121.805000300","400","5","1"
"043","HKG","FOC","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","22.308901000","113.915001000","25.935100560","119.663002000","400","5","1"
"235","IST","NCE","8","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","41.275278000","28.751944000","43.658401490","7.215869904","400","5","1"
"125","MNL","ILO","4","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","10.833017000","122.493358000","400","8","2"
"157","TAG","MNL","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","9.665442000","123.853533000","14.508600000","121.019997000","400","10","2"
"205","ITM","CTS","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","34.785499570","135.438003500","42.775199890","141.692001300","400.16","2","0"
"205","MNL","LHR","12","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","51.470600000","-0.461941000","400.26","2","0"
"205","LHR","MNL","12","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","51.470600000","-0.461941000","14.508600000","121.019997000","400.26","2","0"
"006","MCI","ATL","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","39.297600000","-94.713898000","33.636700000","-84.428101000","400.94","6","1"
"005","IAH","MFE","10","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","29.984399800","-95.341400150","26.175800320","-98.238601680","400.95","9","2"
"006","ILM","ATL","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","34.270599370","-77.902603150","33.636700000","-84.428101000","401.08","5","1"
"205","JFK","MNL","4","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","40.639801030","-73.778900150","14.508600000","121.019997000","340.24","1","0"
"176","DXB","DME","56","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","25.252799990","55.364398960","55.408798220","37.906299590","340.26","2","0"
"211","CEB","GES","44","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","10.307499890","123.978996300","6.058000088","125.096000700","340.33","4","1"
"006","ATL","IAD","8","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","33.636700000","-84.428101000","38.944499970","-77.455802920","340.36","6","1"
"001","DFW","ELP","18","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","32.896801000","-97.038002000","31.807199480","-106.377998400","340.41","3","1"
"176","DXB","NCE","47","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","25.252799990","55.364398960","43.658401490","7.215869904","340.42","2","0"
"001","SEA","DFW","22","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","47.449001000","-122.308998000","32.896801000","-97.038002000","340.9","1","0"
"731","JJN","SHA","15","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","24.796400000","118.589996000","31.197900770","121.335998500","341","3","1"
"006","MCO","ATL","21","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","28.429399490","-81.308998110","33.636700000","-84.428101000","341.06","5","1"
"001","DFW","HOU","17","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","32.896801000","-97.038002000","29.645399090","-95.278900150","341.07","7","1"
"006","SJU","ATL","14","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","18.439399720","-66.001800540","33.636700000","-84.428101000","341.17","2","0"
"001","LAX","IAD","20","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","33.942501070","-118.407997100","38.944499970","-77.455802920","341.66","1","0"
